DATE;Heure;ana1 * 445.254
15-05-2013;18:15:26;4.453
15-05-2013;19:44:31;35.620
15-05-2013;20:01:14;22.263
15-05-2013;21:08:02;0.000
15-05-2013;22:03:42;0.000
15-05-2013;23:27:11;0.000
15-05-2013;23:43:52;0.000
16-05-2013;00:00:43;0.000
16-05-2013;01:18:28;0.000
16-05-2013;02:08:33;0.000
16-05-2013;03:20:52;0.000
16-05-2013;04:16:31;0.000
16-05-2013;05:06:36;0.000
16-05-2013;06:02:14;0.000
16-05-2013;07:09:00;8.905
16-05-2013;08:04:39;120.219
16-05-2013;09:55:58;316.130
16-05-2013;10:01:32;347.298
16-05-2013;11:02:48;1166.565
16-05-2013;12:04:05;258.247
16-05-2013;13:10:58;1113.135
16-05-2013;14:01:09;565.473
16-05-2013;15:08:02;258.247
16-05-2013;16:09:23;1215.543
16-05-2013;17:38:36;271.605
16-05-2013;18:00:54;721.311
16-05-2013;19:02:15;414.086
16-05-2013;20:25:52;22.263
16-05-2013;21:04:52;0.000
16-05-2013;21:43:52;0.000
16-05-2013;22:28:25;13.358
16-05-2013;23:01:50;0.000
17-05-2013;00:03:04;0.000
17-05-2013;01:15:25;13.358
17-05-2013;02:05:29;0.000
17-05-2013;03:01:08;4.453
17-05-2013;04:07:54;0.000
17-05-2013;05:03:31;13.358
17-05-2013;06:15:50;0.000
17-05-2013;07:11:27;40.073
17-05-2013;08:12:38;13.358
17-05-2013;09:02:44;507.590
17-05-2013;10:15:09;761.384
17-05-2013;11:05:19;903.866
17-05-2013;12:17:52;1041.894
17-05-2013;13:02:33;1104.230
17-05-2013;14:03:59;1099.777
17-05-2013;14:37:32;1184.376
17-05-2013;15:11:03;1122.040
17-05-2013;16:12:33;1006.274
17-05-2013;17:19:38;276.057
17-05-2013;18:21:03;35.620
17-05-2013;19:05:43;146.934
17-05-2013;20:01:29;80.146
17-05-2013;21:02:51;0.000
17-05-2013;22:04:11;13.358
17-05-2013;23:05:29;0.000
18-05-2013;00:06:47;0.000
18-05-2013;01:19:13;0.000
18-05-2013;02:26:04;0.000
18-05-2013;03:27:19;0.000
18-05-2013;04:00:45;0.000
18-05-2013;05:07:36;0.000
18-05-2013;06:31:08;0.000
18-05-2013;07:21:15;0.000
18-05-2013;08:00:14;17.810
18-05-2013;09:01:30;84.598
18-05-2013;10:08:20;84.598
18-05-2013;11:04:02;369.561
18-05-2013;12:10:55;725.764
18-05-2013;13:06:41;338.393
18-05-2013;13:34:33;1464.886
18-05-2013;14:13:35;342.846
18-05-2013;15:03:43;262.700
18-05-2013;16:16:07;276.057
18-05-2013;17:22:58;142.481
18-05-2013;18:24:12;75.693
18-05-2013;19:42:09;57.883
18-05-2013;20:48:58;22.263
18-05-2013;21:39:05;0.000
18-05-2013;22:06:55;0.000
18-05-2013;23:02:36;0.000
18-05-2013;23:08:10;0.000
19-05-2013;00:03:49;0.000
19-05-2013;01:05:03;0.000
19-05-2013;02:17:25;0.000
19-05-2013;04:47:44;0.000
19-05-2013;05:04:26;0.000
19-05-2013;06:00:05;0.000
19-05-2013;07:01:20;31.168
19-05-2013;08:08:08;57.883
19-05-2013;09:37:14;302.773
19-05-2013;10:21:47;289.415
19-05-2013;11:11:55;899.413
19-05-2013;12:18:46;89.051
19-05-2013;13:31:09;1073.062
19-05-2013;14:04:36;31.168
19-05-2013;15:00:16;360.656
19-05-2013;15:05:50;1411.455
19-05-2013;16:01:33;129.124
19-05-2013;17:02:49;828.172
19-05-2013;18:15:18;160.291
19-05-2013;19:11:03;449.707
19-05-2013;20:12:21;80.146
19-05-2013;21:02:30;8.905
19-05-2013;22:03:45;13.358
19-05-2013;23:27:17;0.000
19-05-2013;23:49:34;0.000
20-05-2013;00:06:16;0.000
20-05-2013;01:29:46;0.000
20-05-2013;02:08:43;13.358
20-05-2013;03:09:56;0.000
20-05-2013;04:00:01;0.000
20-05-2013;05:01:13;0.000
20-05-2013;06:02:24;0.000
20-05-2013;07:03:35;4.453
20-05-2013;08:21:29;26.715
20-05-2013;09:00:28;494.232
20-05-2013;10:18:27;97.956
20-05-2013;11:08:35;467.517
20-05-2013;12:09:53;730.217
20-05-2013;13:05:38;1206.638
20-05-2013;14:12:34;1349.120
20-05-2013;15:08:21;244.890
20-05-2013;16:04:07;1059.705
20-05-2013;17:11:04;129.124
20-05-2013;18:01:17;235.985
20-05-2013;19:13:48;414.086
20-05-2013;20:09:33;40.073
20-05-2013;21:22:00;0.000
20-05-2013;22:06:34;0.000
20-05-2013;23:24:33;0.000
20-05-2013;23:57:57;0.000
21-05-2013;00:09:05;0.000
21-05-2013;01:04:46;13.358
21-05-2013;02:17:08;0.000
21-05-2013;03:01:40;0.000
21-05-2013;04:02:53;0.000
21-05-2013;05:15:14;0.000
21-05-2013;06:10:53;0.000
21-05-2013;07:12:06;22.263
21-05-2013;08:02:11;57.883
21-05-2013;09:03:25;40.073
21-05-2013;11:00:22;151.386
21-05-2013;12:07:12;97.956
21-05-2013;13:02:53;80.146
21-05-2013;14:09:43;182.554
21-05-2013;15:10:59;106.861
21-05-2013;15:44:24;213.722
21-05-2013;16:01:07;142.481
21-05-2013;17:02:22;80.146
