DATE;heure;consoHP;consoHC
09-06-2012;00:00:01;1.14;1.04
10-06-2012;00:00:01;0.86;0.8
11-06-2012;00:00:01;1.18;0.76
12-06-2012;00:00:01;0.72;0.81
13-06-2012;00:00:01;0.86;0.85
14-06-2012;00:00:01;0.72;0.77
15-06-2012;00:00:01;0.7;0.85
16-06-2012;00:00:01;1.01;0.9
17-06-2012;00:00:01;1.13;0.93
18-06-2012;00:00:01;0.73;0.77
19-06-2012;00:00:01;0.76;0.73
20-06-2012;00:00:01;0.86;0.71
21-06-2012;00:00:01;0.99;0.88
24-06-2012;00:00:01;0.04;0.23
25-06-2012;00:00:01;1.19;0.72
26-06-2012;00:00:01;0.85;0.87
27-06-2012;00:00:01;0.88;0.87
28-06-2012;00:00:01;0.83;0.66
29-06-2012;00:00:01;1.06;0.68
30-06-2012;00:00:01;1.15;0.93
01-07-2012;00:00:01;0.9;0.83
02-07-2012;00:00:01;0.82;0.85
03-07-2012;00:00:01;1.28;1.07
04-07-2012;00:00:01;1.54;0.86
05-07-2012;00:00:01;1.04;0.9
06-07-2012;00:00:01;1.13;0.8
07-07-2012;00:00:01;1.38;0.97
08-07-2012;00:00:01;1.43;1.03
09-07-2012;00:00:01;1.12;1.07
10-07-2012;00:00:01;1;1.07
11-07-2012;00:00:01;1.27;0.9
12-07-2012;00:00:01;1;0.99
13-07-2012;00:00:01;1.13;0.95
14-07-2012;00:00:01;0.88;0.71
15-07-2012;00:00:01;1.36;0.83
16-07-2012;00:00:01;0.91;0.84
17-07-2012;00:00:01;1.2;1
18-07-2012;00:00:01;1.11;0.88
19-07-2012;00:00:01;1.06;0.94
20-07-2012;00:00:01;1.02;1.03
21-07-2012;00:00:01;1.17;0.95
22-07-2012;00:00:01;1.05;0.85
23-07-2012;00:00:01;0.83;0.84
24-07-2012;00:00:01;0.72;0.83
25-07-2012;00:00:01;0.65;0.6
26-07-2012;00:00:01;0.62;0.63
27-07-2012;00:00:01;0.62;0.51
28-07-2012;00:00:01;0.62;0.47
29-07-2012;00:00:01;0.61;0.47
30-07-2012;00:00:01;0.61;0.46
31-07-2012;00:00:01;0.81;0.52
01-08-2012;00:00:01;1.07;0.77
02-08-2012;00:00:01;1.08;0.71
03-08-2012;00:00:01;0.89;0.73
04-08-2012;00:00:01;1.05;0.91
05-08-2012;00:00:01;0.67;0.74
06-08-2012;00:00:01;0.81;0.75
07-08-2012;00:00:01;0.85;0.75
08-08-2012;00:00:01;0.75;0.66
09-08-2012;00:00:01;0.86;0.7
10-08-2012;00:00:01;0.72;0.64
11-08-2012;00:00:01;1.16;0.74
12-08-2012;00:00:01;0.78;0.6
13-08-2012;00:00:01;0.78;0.64
14-08-2012;00:00:01;0.79;0.85
15-08-2012;00:00:01;0.74;0.77
16-08-2012;00:00:01;1.02;0.68
17-08-2012;00:00:01;0.94;0.66
18-08-2012;00:00:01;1.03;0.7
19-08-2012;00:00:01;1.03;0.33
20-08-2012;00:00:01;0.67;0.28
21-08-2012;00:00:01;0.77;0.65
22-08-2012;00:00:01;0.67;0.63
23-08-2012;00:00:01;0.76;0.59
24-08-2012;00:00:01;0.73;0.6
25-08-2012;00:00:01;0.58;0.47
26-08-2012;00:00:01;0.99;0.86
27-08-2012;00:00:01;0.78;0.66
28-08-2012;00:00:01;0.8;0.57
29-08-2012;00:00:01;1.01;0.71
30-08-2012;00:00:01;0.9;0.93
31-08-2012;00:00:01;0.98;0.79
01-09-2012;00:00:01;0.91;0.76
02-09-2012;00:00:01;1.15;0.72
03-09-2012;00:00:01;0.77;0.77
04-09-2012;00:00:01;0.79;0.66
05-09-2012;00:00:01;0.97;0.71
06-09-2012;00:00:01;0.69;0.6
07-09-2012;00:00:01;0.77;0.56
08-09-2012;00:00:01;1.12;0.72
09-09-2012;00:00:01;1.11;0.64
10-09-2012;00:00:01;0.78;0.6
11-09-2012;00:00:01;0.76;0.65
12-09-2012;00:00:01;0.94;0.7
13-09-2012;00:00:01;0.89;0.65
14-09-2012;00:00:01;0.78;0.65
15-09-2012;00:00:01;0.62;0.66
16-09-2012;00:00:01;0.97;0.67
17-09-2012;00:00:01;0.81;0.59
18-09-2012;00:00:01;0.83;0.69
19-09-2012;00:00:01;0.83;0.79
20-09-2012;00:00:01;0.87;0.6
21-09-2012;00:00:01;0.89;0.68
22-09-2012;00:00:01;1.05;0.73
23-09-2012;00:00:01;1.64;0.86
24-09-2012;00:00:01;0.77;0.87
25-09-2012;00:00:01;0.84;0.66
26-09-2012;00:00:01;0.89;0.85
27-09-2012;00:00:01;0.84;0.73
28-09-2012;00:00:01;0.79;0.65
29-09-2012;00:00:01;1.41;1
30-09-2012;00:00:01;0.97;1.02
01-10-2012;00:00:01;0.86;0.83
02-10-2012;00:00:01;0.82;0.68
03-10-2012;00:00:01;0.8;0.72
04-10-2012;00:00:01;0.73;0.72
05-10-2012;00:00:01;0.72;0.65
06-10-2012;00:00:01;1.23;0.81
07-10-2012;00:00:01;1.38;1
08-10-2012;00:00:01;1.04;0.78
09-10-2012;00:00:01;0.76;0.64
10-10-2012;00:00:01;0.86;0.59
11-10-2012;00:00:01;0.95;0.64
12-10-2012;00:00:01;0.72;0.59
13-10-2012;00:00:01;0.96;0.82
14-10-2012;00:00:01;1.9;0.8
15-10-2012;00:00:01;0.93;0.74
16-10-2012;00:00:01;0.92;0.59
17-10-2012;00:00:01;0.92;0.72
18-10-2012;00:00:01;0.95;0.89
19-10-2012;00:00:01;0.96;0.68
20-10-2012;00:00:01;1;0.73
21-10-2012;00:00:01;1.27;0.84
22-10-2012;00:00:01;0.81;1.17
23-10-2012;00:00:01;1.58;0.9
24-10-2012;00:00:01;0.76;0.6
25-10-2012;00:00:01;0.98;0.75
26-10-2012;00:00:01;1.64;0.64
27-10-2012;00:00:01;1.54;0.75
28-10-2012;00:00:01;1.46;1.24
29-10-2012;00:00:01;0.93;1.21
30-10-2012;00:00:01;0.95;0.74
31-10-2012;00:00:01;0.96;0.71
01-11-2012;00:00:01;1.41;0.95
02-11-2012;00:00:01;0.94;1.34
03-11-2012;00:00:01;1.15;1.12
